code,name_en,name_short_en,name_es,name_short_es,continent_code,total_export
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,San Vicente Y Las Granadinas,San Vicente y Las Granadinas,8,21922134
VEN,Venezuela (Bolivarian Republic of),Venezuela,Venezuela (Republica De),Venezuela ,6,18247190528
VGB,Virgin Islands (British),Virgin Islands (British),Virgenes. Islas (Britanicas),Virgenes. Islas (Britanicas),8,14357204
VIR,Virgin Islands (U.S.),Virgin Islands (U.S.),Virgenes. Islas (Norteamericanas),Virgenes. Islas (Norteamericanas),8,15849488
VNM,Viet Nam,Viet Nam,Vietnam (Republica Socialista De),Vietnam,2,721510848
VUT,Vanuatu,Vanuatu,Vanuatu,Vanuatu,3,8350183.5
WLF,Wallis and Futuna,Wallis and Futuna,Islas Wallis Y Futuna,Islas Wallis Y Futuna,3,159436.5469
WSM,Samoa,Samoa,Samoa (Estado Independiente De),Samoa,3,2886328.75
XCH,British Indian Ocean Territory,British Indian Ocean Territory,Territorios Britanicos Del Oceano Indico,Territorios Britanicos Del Oceano Indico,9,30470.30664
YEM,Yemen,Yemen,Yemen (Republica De),Yemen ,2,13065412
YUG,Yugoslavia,Yugoslavia,Yugoslavia (Republica Federal De),Yugoslavia,4,62268464
ZAF,South Africa,South Africa,Sudafrica (Republica De),Sudafrica ,1,1795568256
ZMB,Zambia,Zambia,Zambia (Republica De),Zambia ,1,22696852
ZWE,Zimbabwe,Zimbabwe,Zimbabwe (Republica De),Zimbabwe ,1,6004351.5
ZYA,Netherlands ,Netherlands ,Paises Bajos (Reino De Los) (Holanda),Holanda,4,16089762816
