code	level	name_en	name_short_en	name_es	name_short_es
7213	class	Rooming and boarding houses, and furnished apartments and houses with maid services	Rooming and boarding houses, and furnished apartments and houses with maid services	Pensiones y casas de huespedes, y departamentos y casas amueblados con servicios de hoteleria	Pensiones y casas de huespedes, y departamentos y casas amueblados con servicios de hoteleria
7221	class	Full service restaurants	Full service restaurants	Restaurantes con servicio completo	Restaurantes con servicio completo
7222	class	Self-service, take-out and other limited service restaurants	Self-service, take-out and other limited service restaurants	Restaurantes de autoservicio, comida para llevar y otros restaurantes con servicio limitado	Restaurantes de autoservicio, comida para llevar y otros restaurantes con servicio limitado
7223	class	Food catering services	Food catering services	Servicios de preparacion de alimentos por encargo	Servicios de preparacion de alimentos por encargo
7224	class	Nightclubs, bars and similar drinking places	Nightclubs, bars and similar drinking places	Centros nocturnos, bares, cantinas y similares	Centros nocturnos, bares, cantinas y similares
8111	class	Repair and maintenance of automobiles and trucks	Repair and maintenance of automobiles and trucks	Reparacion y mantenimiento de automoviles y camiones	Reparacion y mantenimiento de automoviles y camiones
8112	class	Electronic and precision equipment repair and maintenance	Electronic and precision equipment repair and maintenance	Reparacion y mantenimiento de equipo electronico y de equipo de precision	Reparacion y mantenimiento de equipo electronico y de equipo de precision
8113	class	Agricultural, industrial, commercial and services machinery and equipment repair and maintenance	Agricultural, industrial, commercial and services machinery and equipment repair and maintenance	Reparacion y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios	Reparacion y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios
8114	class	Household and personal goods repair and maintenance	Household and personal goods repair and maintenance	Reparacion y mantenimiento de articulos para el hogar y personales	Reparacion y mantenimiento de articulos para el hogar y personales
8121	class	Beauty salons and clinics, public baths and washrooms, and shoeshine shops	Beauty salons and clinics, public baths and washrooms, and shoeshine shops	Salones y clinicas de belleza, banos publicos y bolerias	Salones y clinicas de belleza, banos publicos y bolerias
8122	class	Laundries and dry-cleaning shops	Laundries and dry-cleaning shops	Lavanderias y tintorerias	Lavanderias y tintorerias
8123	class	Funeral services and cemetery management	Funeral services and cemetery management	Servicios funerarios y administracion de cementerios	Servicios funerarios y administracion de cementerios
8124	class	Parking lots and garages for motor vehicles	Parking lots and garages for motor vehicles	Estacionamientos y pensiones para vehiculos automotores	Estacionamientos y pensiones para vehiculos automotores
8129	class	Photograph developing and printing and other personal services	Photograph developing and printing and other personal services	Servicios de revelado e impresion de fotografias y otros servicios personales	Servicios de revelado e impresion de fotografias y otros servicios personales
8131	class	Commercial, labor, professional and recreational associations and organizations	Commercial, labor, professional and recreational associations and organizations	Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas	Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas
8132	class	Religious, political and civic associations and organizations	Religious, political and civic associations and organizations	Asociaciones y organizaciones religiosas, politicas y civiles	Asociaciones y organizaciones religiosas, politicas y civiles
8141	class	Private households employing domestic personnel	Private households employing domestic personnel	Hogares con empleados domesticos	Hogares con empleados domesticos
9311	class	Legislative bodies	Legislative bodies	Organos legislativos	Organos legislativos
9312	class	General public administration	General public administration	Administracion publica en general	Administracion publica en general
9313	class	Regulation and promotion of economic development	Regulation and promotion of economic development	Regulacion y fomento del desarrollo economico	Regulacion y fomento del desarrollo economico
9314	class	Justice administration and security and public order preservation	Justice administration and security and public order preservation	Imparticion de justicia y mantenimiento de la seguridad y el orden publico	Imparticion de justicia y mantenimiento de la seguridad y el orden publico
9315	class	Regulation and promotion of environmental improvement and preservation activities	Regulation and promotion of environmental improvement and preservation activities	Regulacion y fomento de actividades para mejorar y preservar el medio ambiente	Regulacion y fomento de actividades para mejorar y preservar el medio ambiente
9316	class	Administrative activities of social welfare institutions	Administrative activities of social welfare institutions	Actividades administrativas de instituciones de bienestar social	Actividades administrativas de instituciones de bienestar social
