6digit_code	4digit_code	2digit_code	section_code
293890	2938	29	5
293910	2939	29	5
293921	2939	29	5
293929	2939	29	5
293930	2939	29	5
293940	2939	29	5
293950	2939	29	5
293960	2939	29	5
293970	2939	29	5
293990	2939	29	5
294000	2940	29	5
294110	2941	29	5
294120	2941	29	5
294130	2941	29	5
294140	2941	29	5
294150	2941	29	5
294190	2941	29	5
294200	2942	29	5
300110	3001	30	5
300120	3001	30	5
300190	3001	30	5
300210	3002	30	5
300220	3002	30	5
300231	3002	30	5
300239	3002	30	5
300290	3002	30	5
300310	3003	30	5
300320	3003	30	5
300331	3003	30	5
300339	3003	30	5
300340	3003	30	5
300390	3003	30	5
300410	3004	30	5
300420	3004	30	5
300431	3004	30	5
300432	3004	30	5
300439	3004	30	5
300440	3004	30	5
300450	3004	30	5
300490	3004	30	5
300510	3005	30	5
300590	3005	30	5
300610	3006	30	5
300620	3006	30	5
300630	3006	30	5
300640	3006	30	5
300650	3006	30	5
300660	3006	30	5
310100	3101	31	5
310210	3102	31	5
310221	3102	31	5
