"","code","level","parent_id","name_en","name_short_en","name_es","name_short_es","name"
140,"334","group",121.0,"Manufacturing of computer, communications, and measuring equipment, and other electronic equipment, components and appliances manufacturing","Manufacturing of computer, communications, and measuring equipment, and other electronic equipment, components and appliances manufacturing","Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos","Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos","Manufacturing of computer, communications, and measuring equipment, and other electronic equipment, components and appliances manufacturing"
141,"3341","class",140.0,"Computer and peripheral equipment manufacturing","Computer and peripheral equipment manufacturing","Fabricacion de computadoras y equipo periferico","Fabricacion de computadoras y equipo periferico","Computer and peripheral equipment manufacturing"
142,"3342","class",140.0,"Communications equipment manufacturing","Communications equipment manufacturing","Fabricacion de equipo de comunicacion","Fabricacion de equipo de comunicacion","Communications equipment manufacturing"
143,"3343","class",140.0,"Audio and video equipment manufacturing","Audio and video equipment manufacturing","Fabricacion de equipo de audio y de video","Fabricacion de equipo de audio y de video","Audio and video equipment manufacturing"
144,"3344","class",140.0,"Electronic components manufacturing","Electronic components manufacturing","Fabricacion de componentes electronicos","Fabricacion de componentes electronicos","Electronic components manufacturing"
145,"3345","class",140.0,"Manufacturing of measuring, control, navigation instruments and electronic medical equipment manufacturing","Manufacturing of measuring, control, navigation instruments and electronic medical equipment manufacturing","Fabricacion de instrumentos de medicion, control, navegacion, y equipo medico electronico","Fabricacion de instrumentos de medicion, control, navegacion, y equipo medico electronico","Manufacturing of measuring, control, navigation instruments and electronic medical equipment manufacturing"
146,"3346","class",140.0,"Manufacturing and reproducing magnetic and optical media","Manufacturing and reproducing magnetic and optical media","Fabricacion y reproduccion de medios magneticos y opticos","Fabricacion y reproduccion de medios magneticos y opticos","Manufacturing and reproducing magnetic and optical media"
147,"335","group",121.0,"Electric appliances, accessories and electric power generation equipment manufacturing","Electric appliances, accessories and electric power generation equipment manufacturing","Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica","Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica","Electric appliances, accessories and electric power generation equipment manufacturing"
148,"3351","class",147.0,"Lighting accessories manufacturing","Lighting accessories manufacturing","Fabricacion de accesorios de iluminacion","Fabricacion de accesorios de iluminacion","Lighting accessories manufacturing"
149,"3352","class",147.0,"Household electrical appliances manufacturing","Household electrical appliances manufacturing","Fabricacion de aparatos electricos de uso domestico","Fabricacion de aparatos electricos de uso domestico","Household electrical appliances manufacturing"
150,"3353","class",147.0,"Electric power generation and distribution equipment manufacturing","Electric power generation and distribution equipment manufacturing","Fabricacion de equipo de generacion y distribucion de energia electrica","Fabricacion de equipo de generacion y distribucion de energia electrica","Electric power generation and distribution equipment manufacturing"
151,"3359","class",147.0,"Other electrical equipment and accessories manufacturing","Other electrical equipment and accessories manufacturing","Fabricacion de otros equipos y accesorios electricos","Fabricacion de otros equipos y accesorios electricos","Other electrical equipment and accessories manufacturing"
152,"336","group",121.0,"Transportation equipment manufacturing","Transportation equipment manufacturing","Fabricacion de equipo de transporte","Fabricacion de equipo de transporte","Transportation equipment manufacturing"
153,"3361","class",152.0,"Automobiles and trucks manufacturing","Automobiles and trucks manufacturing","Fabricacion de automoviles y camiones","Fabricacion de automoviles y camiones","Automobiles and trucks manufacturing"
154,"3362","class",152.0,"Motor vehicle bodies and trailers manufacturing","Motor vehicle bodies and trailers manufacturing","Fabricacion de carrocerias y remolques","Fabricacion de carrocerias y remolques","Motor vehicle bodies and trailers manufacturing"
155,"3363","class",152.0,"Motor vehicle parts manufacturing","Motor vehicle parts manufacturing","Fabricacion de partes para vehiculos automotores","Fabricacion de partes para vehiculos automotores","Motor vehicle parts manufacturing"
156,"3364","class",152.0,"Aerospace equipment manufacturing","Aerospace equipment manufacturing","Fabricacion de equipo aeroespacial","Fabricacion de equipo aeroespacial","Aerospace equipment manufacturing"
157,"3365","class",152.0,"Railroad equipment manufacturing","Railroad equipment manufacturing","Fabricacion de equipo ferroviario","Fabricacion de equipo ferroviario","Railroad equipment manufacturing"
158,"3366","class",152.0,"Ship and boat manufacturing","Ship and boat manufacturing","Fabricacion de embarcaciones","Fabricacion de embarcaciones","Ship and boat manufacturing"
159,"3369","class",152.0,"Other transportation equipment manufacturing","Other transportation equipment manufacturing","Fabricacion de otro equipo de transporte","Fabricacion de otro equipo de transporte","Other transportation equipment manufacturing"
