code	level	name_en	name_short_en	name_es	name_short_es
27322	level4	Limestone flux and calcareous stone	Limestone flux and calcareous stone		
27323	level4	Gypsum and anhydrite	Gypsum and anhydrite		
27324	level4	Calcined gypsum, and plasters with a basis of calcium sulphate	Calcined gypsum, and plasters with a basis of calcium sulphate		
27721	level4	Dust, powder of natural, synthetic precious or semiprecious stones	Dust, powder of natural, synthetic precious or semiprecious stones		
27722	level4	Pumice stone; emery; other natural abrasives, nes	Pumice stone; emery; other natural abrasives, nes		
27821	level4	Clay (excluding expanded clays), andalusite, kyanite, etc	Clay (excluding expanded clays), andalusite, kyanite, etc		
27822	level4	Graphite, natural	Graphite, natural		
27823	level4	Dolomite	Dolomite		
27824	level4	Magnesium carbonate, natural	Magnesium carbonate, natural		
27851	level4	Natural quartz, quartzite	Natural quartz, quartzite		
27852	level4	Mica; mica waste	Mica; mica waste		
27853	level4	Cryolite and chiolite, natural	Cryolite and chiolite, natural		
27854	level4	Felspar, leucite, nepheline and nepheline syenite; fluorspar	Felspar, leucite, nepheline and nepheline syenite; fluorspar		
27861	level4	Slag, dross, etc, from iron or steel manufacture	Slag, dross, etc, from iron or steel manufacture		
27862	level4	Slag and ash, nes (including kelp)	Slag and ash, nes (including kelp)		
27891	level4	Chalk	Chalk		
27892	level4	Natural barium sulphate or carbonate	Natural barium sulphate or carbonate		
27893	level4	Talc, natural steatite	Talc, natural steatite		
27894	level4	Crude natural borates and concentrates	Crude natural borates and concentrates		
27895	level4	Siliceous earths	Siliceous earths		
27896	level4	Bitumen and asphalt, natural; bituminous shale; tar sands, etc	Bitumen and asphalt, natural; bituminous shale; tar sands, etc		
27899	level4	Mineral substances, nes	Mineral substances, nes		
28201	level4	Waste and scrap metal of iron or steel; of pig or cast iron	Waste and scrap metal of iron or steel; of pig or cast iron		
28202	level4	Waste and scrap metal of iron or steel; of alloy steel	Waste and scrap metal of iron or steel; of alloy steel		
28209	level4	Waste and scrap metal of iron or steel; of other iron or steel	Waste and scrap metal of iron or steel; of other iron or steel		
28711	level4	Copper ores and concentrates	Copper ores and concentrates		
28712	level4	Copper matte; cement copper	Copper matte; cement copper		
28721	level4	Nickel ores and concentrates	Nickel ores and concentrates		
28722	level4	Nickel matte, sinters, etc	Nickel matte, sinters, etc		
28731	level4	Aluminium ore and concentrate	Aluminium ore and concentrate		
28732	level4	Alumina (aluminium oxide)	Alumina (aluminium oxide)		
28791	level4	Chromium ore and concentrate	Chromium ore and concentrate		
28792	level4	Tungsten ore and concentrate	Tungsten ore and concentrate		
28793	level4	Ores and concentrates of molybdenum, niobium, titanium, etc	Ores and concentrates of molybdenum, niobium, titanium, etc		
28799	level4	Other base metal ore and concentrates, nes	Other base metal ore and concentrates, nes		
28821	level4	Copper waste and scrap	Copper waste and scrap		
28822	level4	Nickel waste and scrap	Nickel waste and scrap		
28823	level4	Aluminium waste and scrap	Aluminium waste and scrap		
28824	level4	Lead waste and scrap	Lead waste and scrap		
28825	level4	Zinc waste and scrap (other than dust)	Zinc waste and scrap (other than dust)		
28826	level4	Tin waste and scrap	Tin waste and scrap		
28901	level4	Ores and concentrates of precious metals	Ores and concentrates of precious metals		
28902	level4	Precious metal, waste and scrap	Precious metal, waste and scrap		
29111	level4	Bone, horn-core, unworked, defatted, degelatinized, etc, and waste	Bone, horn-core, unworked, defatted, degelatinized, etc, and waste		
29115	level4	Coral, shells, unworked or simply prepared, and waste	Coral, shells, unworked or simply prepared, and waste		
29116	level4	Ivory, tortoise-shell etc, unworked or simply prepared, and waste	Ivory, tortoise-shell etc, unworked or simply prepared, and waste		
29191	level4	Human hair, unworked; waste of human hair	Human hair, unworked; waste of human hair		
29192	level4	Brush-making hair, etc, and waste	Brush-making hair, etc, and waste		
29193	level4	Gut, bladders, and stomachs of animals (other than fish)	Gut, bladders, and stomachs of animals (other than fish)		
29194	level4	Fish waste	Fish waste		
29196	level4	Skins and other parts of birds with feathers or down, etc, parts of	Skins and other parts of birds with feathers or down, etc, parts of		
29197	level4	Natural sponges	Natural sponges		
29198	level4	Ambergris, civet, musk, etc, used for pharmaceutical products	Ambergris, civet, musk, etc, used for pharmaceutical products		
29199	level4	Animal products, nes; dead animals unfit for human consumption	Animal products, nes; dead animals unfit for human consumption		
29261	level4	Bulbs, tubers, corms and others; dormant, in growth or in flower	Bulbs, tubers, corms and others; dormant, in growth or in flower		
29269	level4	Other live plants	Other live plants		
29271	level4	Cut flowers and flower buds, fresh, dried, bleached etc	Cut flowers and flower buds, fresh, dried, bleached etc		
29272	level4	Cut foliage, fresh, dried, bleached etc	Cut foliage, fresh, dried, bleached etc		
29291	level4	Vegetable saps and extracts; agar-agar and other mucilages	Vegetable saps and extracts; agar-agar and other mucilages		
29292	level4	Vegetable padding or stuffing materials	Vegetable padding or stuffing materials		
29293	level4	Vegetable materials for brushes or brooms	Vegetable materials for brushes or brooms		
29298	level4	Vegetable materials and products, nes	Vegetable materials and products, nes		
32311	level4	Briquettes, ovoids and similar solid fuels of coal	Briquettes, ovoids and similar solid fuels of coal		
32312	level4	Lignite, agglomerated	Lignite, agglomerated		
32313	level4	Peat, agglomerated	Peat, agglomerated		
32321	level4	Coke and semi-coke of coal; retort carbon	Coke and semi-coke of coal; retort carbon		
32322	level4	Coke and semi-coke of lignite or of peat	Coke and semi-coke of lignite or of peat		
33411	level4	Motor spirit, including aviation spirit	Motor spirit, including aviation spirit		
33412	level4	Spirit type jet fuel	Spirit type jet fuel		
33419	level4	Other light petroleum oils	Other light petroleum oils		
33421	level4	Kerosene (including kerosene type jet fuel)	Kerosene (including kerosene type jet fuel)		
33429	level4	Other medium petroleum oil	Other medium petroleum oil		
33451	level4	Lubricating petroleum oils (high petroleum content) etc	Lubricating petroleum oils (high petroleum content) etc		
33452	level4	Lubricating preparations (low petroleum content)	Lubricating preparations (low petroleum content)		
33511	level4	Petroleum jelly	Petroleum jelly		
33512	level4	Mineral waxes	Mineral waxes		
33521	level4	Mineral tars	Mineral tars		
33522	level4	Benzole	Benzole		
33523	level4	Toluole	Toluole		
33524	level4	Xylole	Xylole		
33525	level4	Mineral tar oils etc, nes	Mineral tar oils etc, nes		
33531	level4	Pitch from mineral tars	Pitch from mineral tars		
33532	level4	Pitch coke	Pitch coke		
33541	level4	Petroleum bitumen, etc	Petroleum bitumen, etc		
33542	level4	Petroleum coke	Petroleum coke		
33543	level4	Bituminous mixtures etc	Bituminous mixtures etc		
34131	level4	Liquefied propane and butane	Liquefied propane and butane		
34139	level4	Liquefied gaseous hydrocarbons, nes	Liquefied gaseous hydrocarbons, nes		
03501	level4	Fish meal fit for human consumption	Fish meal fit for human consumption		
41111	level4	Fish liver oil	Fish liver oil		
41112	level4	Fish oils and fats (other than fish liver oil)	Fish oils and fats (other than fish liver oil)		
41113	level4	Oils and fats of marine mammals	Oils and fats of marine mammals		
41131	level4	Pig and poultry fat unrendered	Pig and poultry fat unrendered		
41132	level4	Fats of bovine cattle, sheep or goats	Fats of bovine cattle, sheep or goats		
41133	level4	Lard stearin and oils, etc	Lard stearin and oils, etc		
41134	level4	Wool grease and fatty substances derived therefrom	Wool grease and fatty substances derived therefrom		
41139	level4	Animal oils and fats, nes	Animal oils and fats, nes		
04211	level4	Rice in the husk	Rice in the husk		
42391	level4	Rape, colza and mustard oils	Rape, colza and mustard oils		
42392	level4	Sesame oil	Sesame oil		
43131	level4	Fatty acids; acid oils from refining	Fatty acids; acid oils from refining		
43133	level4	Residues of treating fat; degras	Residues of treating fat; degras		
43143	level4	Vegetable waxes	Vegetable waxes		
43144	level4	Spermaceti, crude or refined; insect waxes	Spermaceti, crude or refined; insect waxes		
51111	level4	Ethylene	Ethylene		
51112	level4	Propylene	Propylene		
51113	level4	Butylenes, butadienes and methylbutadienes	Butylenes, butadienes and methylbutadienes		
51119	level4	Other acyclic hydrocarbons	Other acyclic hydrocarbons		
51121	level4	Cyclohexane	Cyclohexane		
51122	level4	Benzene, chemically pure	Benzene, chemically pure		
51123	level4	Toluene, chemically pure	Toluene, chemically pure		
51124	level4	Xylenes, chemically pure	Xylenes, chemically pure		
51125	level4	Styrene	Styrene		
51126	level4	Ethylbenzene	Ethylbenzene		
51129	level4	Other cyclic hydrocarbons	Other cyclic hydrocarbons		
51131	level4	Vinyl chloride (chloroethylene)	Vinyl chloride (chloroethylene)		
51132	level4	Trichloroethylene	Trichloroethylene		
51133	level4	Tetrachloroethylene (perchloroethylene)	Tetrachloroethylene (perchloroethylene)		
51139	level4	Other halogenated derivatives of hydrocarbons	Other halogenated derivatives of hydrocarbons		
