"","name","level","code","parent_id"
287,"Fabricación De Otros Tipos De Equipo Eléctrico N.C.P.","group","279",286.0
288,"Instalación Especializada De Maquinaria Y Equipo Industrial","group","332",286.0
289,"Fabricación De Motores, Turbinas, Y Partes Para Motores De Combustión Interna","class","2811",288.0
290,"Mantenimiento Y Reparación Especializado De Maquinaria Y Equipo","class","3312",288.0
291,"Instalación Especializada De Maquinaria Y Equipo Industrial","class","3320",288.0
292,"Fabricación De Otras Bombas, Compresores, Grifos Y Válvulas","class","2813",288.0
293,"Fabricación De Cojinetes, Engranajes, Trenes De Engranajes Y Piezas De Transmisión","class","2814",288.0
294,"Fabricación De Hornos, Hogares Y Quemadores Industriales","class","2815",288.0
295,"Fabricación De Equipo De Elevación Y Manipulación","class","2816",288.0
296,"Fabricación De Otros Tipos De Maquinaria Y Equipo De Uso General N.C.P..","class","2819",288.0
297,"Fabricación De Armas Y Municiones","group","252",286.0
298,"Fabricación De Maquinaria Y Equipo De Uso Especial","group","282",286.0
299,"Fabricación De Aeronaves, Naves Espaciales Y De Maquinaria Conexa","group","303",286.0
300,"Fabricación De Vehículos Militares De Combate","group","304",286.0
301,"Fabricación De Maquinaria Agropecuaria Y Forestal","class","2821",300.0
302,"Fabricación De Otros Tipos De Equipo Eléctrico N.C.P.","class","2790",300.0
303,"Fabricación De Herramientas Manuales Con Motor","class","2818",300.0
304,"Fabricación De Máquinas Formadoras De Metal Y De Máquinas Herramienta","class","2822",300.0
305,"Mantenimiento Y Reparación Especializado De Equipo Eléctrico","class","3314",300.0
306,"Fabricación De Maquinaria Para La Metalurgia","class","2823",300.0
307,"Fabricación De Maquinaria Para Explotación De Minas Y Canteras Y Para Obras De Construcción","class","2824",300.0
308,"Fabricación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco","class","2825",300.0
309,"Fabricación De Maquinaria Para La Elaboración De Productos Textiles, Prendas De Vestir Y Cueros","class","2826",300.0
310,"Fabricación De Armas Y Municiones","class","2520",300.0
311,"Fabricación De Aeronaves, Naves Espaciales Y De Maquinaria Conexa","class","3030",300.0
312,"Fabricación De Vehículos Militares De Combate","class","3040",300.0
313,"Fabricación De Otros Tipos De Maquinaria Y Equipo De Uso Especial N.C.P.","class","2829",300.0
314,"Fabricación De Aparatos De Uso Doméstico","group","275",286.0
315,"Fabricación De Aparatos De Uso Doméstico","class","2750",314.0
316,"Fabricación De Computadoras Y De Equipo Periférico","group","262",286.0
317,"Fabricación De Computadoras Y De Equipo Periférico","class","2620",316.0
318,"Fabricación De Motores, Generadores Y Transformadores Eléctricos Y De Aparatos De Distribución Y Control De La Energía Eléctrica","group","271",286.0
319,"Fabricación De Motores, Generadores Y Transformadores Eléctricos","class","2711",318.0
320,"Fabricación De Aparatos De Distribución Y Control De La Energía Eléctrica","class","2712",318.0
321,"Fabricación De Hilos Y Cables Eléctricos Y De Fibra Óptica","class","2731",318.0
322,"Fabricación De Pilas, Baterías Y Acumuladores Eléctricos","group","272",286.0
323,"Fabricación De Pilas, Baterías Y Acumuladores Eléctricos","class","2720",322.0
324,"Fabricación De Equipos Eléctricos De Iluminación","group","274",286.0
325,"Fabricación De Equipos Eléctricos De Iluminación","class","2740",324.0
326,"Fabricación De Equipos De Comunicación","group","263",286.0
327,"Fabricación De Equipo De Medición, Prueba, Navegación Y Control; Fabricación De Relojes","group","265",286.0
328,"Fabricación De Partes, Piezas (Autopartes) Y Accesorios (Lujos) Para Vehículos Automotores","group","293",286.0
329,"Fabricación De Equipos De Comunicación","class","2630",328.0
330,"Fabricación De Equipo De Medición, Prueba, Navegación Y Control","class","2651",328.0
331,"Fabricación De Partes, Piezas (Autopartes) Y Accesorios (Lujos) Para Vehículos Automotores","class","2930",328.0
332,"Mantenimiento Y Reparación Especializado De Equipo Electrónico Y Óptico","class","3313",328.0
333,"Mantenimiento Y Reparación De Computadores, Efectos Personales Y Enseres Domésticos","division","95",105.0
334,"Mantenimiento Y Reparación De Computadores Y Equipo De Comunicaciones","group","951",333.0
335,"Mantenimiento Y Reparación De Equipos De Comunicación","class","9512",334.0
336,"Fabricación De Aparatos Electrónicos De Consumo","group","264",333.0
337,"Fabricación De Instrumentos Ópticos Y Equipo Fotográfico","group","267",333.0
338,"Fabricación De Aparatos Electrónicos De Consumo","class","2640",337.0
339,"Fabricación De Instrumentos Ópticos Y Equipo Fotográfico","class","2670",337.0
340,"Fabricación De Equipo De Irradiación Y Equipo Electrónico De Uso Médico Y Terapéutico","group","266",333.0
341,"Fabricación De Equipo De Irradiación Y Equipo Electrónico De Uso Médico Y Terapéutico","class","2660",340.0
342,"Fabricación De Joyas, Bisutería Y Artículos Conexos","group","321",333.0
343,"Fabricación De Relojes","class","2652",342.0
344,"Fabricación De Joyas, Bisutería Y Artículos Conexos","class","3210",342.0
345,"Fabricación De Vehículos Automotores, Remolques Y Semirremolques","division","29",105.0
346,"Fabricación De Vehículos Automotores Y Sus Motores","group","291",345.0
347,"Fabricación De Vehículos Automotores Y Sus Motores","class","2910",346.0
348,"Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques","group","292",345.0
349,"Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques","class","2920",348.0
350,"Fabricación De Muebles, Colchones Y Somieres","division","31",105.0
351,"Comercio, Mantenimiento Y Reparación De Vehículos Automotores Y Motocicletas, Sus Partes, Piezas Y Accesorios","division","45",105.0
352,"Construcción De Barcos Y Otras Embarcaciones","group","301",351.0
353,"Construcción De Barcos Y De Estructuras Flotantes","class","3011",352.0
354,"Mantenimiento Y Reparación Especializado De Equipo De Transporte, Excepto Los Vehículos Automotores, Motocicletas Y Bicicletas","class","3315",352.0
355,"Construcción De Embarcaciones De Recreo Y Deporte","class","3012",352.0
356,"Fabricación De Locomotoras Y De Material Rodante Para Ferrocarriles","group","302",351.0
357,"Fabricación De Locomotoras Y De Material Rodante Para Ferrocarriles","class","3020",356.0
358,"Fabricación De Otros Tipos De Equipo De Transporte N.C.P.","group","309",351.0
359,"Fabricación De Muebles","group","311",351.0
