code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
8011	class	Educación preescolar	Educación preescolar	Educación preescolar	Preschool education	Preschool education
8012	class	Educación básica primaria	Educación básica primaria	Educación básica primaria	Primary education	Primary education
8021	class	Educación básica secundaria	Educación básica secundaria	Educación básica secundaria	General secondary education	General secondary education
8022	class	Educación media	Educación media	Educación media	Middle school	Middle school
8030	class	Servicio de educación laboral especial	Servicio de educación laboral especial	Servicio de educación laboral especial	Technical and vocational secondary education	Technical and vocational secondary education
8041	class	Establecimientos que prestan el servicio de educación preescolar y básica primaria	Establecimientos que prestan el servicio de educación preescolar y básica primaria	Escuelas con preescolar y primaria	Facilties for preschool and primary school	Facilties for preschool and primary school
8042	class	Establecimientos que prestan el servicio de educación preescolar y básica (básica primaria y básica secundaria)	Establecimientos que prestan el servicio de educación preescolar y básica (básica primaria y básica secundaria)	Escuelas con preescolar y básica	Facilties for preschool, primary, and secondary school	Facilties for preschool, primary, and secondary school
8043	class	Establecimientos que prestan el servicio de educación preescolar, básica (básica primaria y básica secundaria) y media	Establecimientos que prestan el servicio de educación preescolar, básica (básica primaria y básica secundaria) y media	Escuelas con preescolar, básica y media	Facilties for preschool, primary and middle school	Facilties for preschool, primary and middle school
8044	class	Establecimientos que prestan el servicio de educación básica (básica primaria y básica secundaria)	Establecimientos que prestan el servicio de educación básica (básica primaria y básica secundaria)	Establecimientos de educación primaria y secundaria	Facilities for Primary education	Facilities for Primary education
8045	class	Establecimientos que prestan el servicio de educación básica (básica primaria y básica secundaria) y media	Establecimientos que prestan el servicio de educación básica (básica primaria y básica secundaria) y media	Establecimientos de educación básica y media	Facilities for primary and middle school	Facilities for primary and middle school
8046	class	Establecimientos que prestan el servicio de educación básica secundaria y media	Establecimientos que prestan el servicio de educación básica secundaria y media	Establecimientos de educación básica secundaria y media	Facilities for pimary, middle and secondary school	Facilities for pimary, middle and secondary school
8050	class	Educación superior	Educación superior	Educación superior	Higher education	Higher education
8060	class	Educación no formal	Educación no formal	Educación no formal	Adult and other education	Adult and other education
8511	class	Actividades de las instituciones prestadoras de servicios de salud, con internación	Actividades de las instituciones prestadoras de servicios de salud, con internación	Hospitales	Hospital activities	Hospital activities
8512	class	Actividades de la práctica médica	Actividades de la práctica médica	Actividades de la práctica médica	Medical practice activities	Medical practice activities
8513	class	Actividades de la práctica odontológica	Actividades de la práctica odontológica	Actividades de la práctica odontológica	Dental practice activities	Dental practice activities
8514	class	Actividades de apoyo diagnóstico	Actividades de apoyo diagnóstico	Actividades de apoyo diagnóstico	Other diagnostic services	Other diagnostic services
8515	class	Actividades de apoyo terapéutico	Actividades de apoyo terapéutico	Actividades de apoyo terapéutico	Other therapeutic services	Other therapeutic services
8519	class	Otras actividades relacionadas con la salud humana	Otras actividades relacionadas con la salud humana	Otras actividades relacionadas con la salud humana	Other human health activities	Other human health activities
8520	class	Actividades veterinarias	Actividades veterinarias	Actividades veterinarias	Veterinary activities	Veterinary activities
8531	class	Servicios sociales con alojamiento	Servicios sociales con alojamiento	Servicios sociales con alojamiento	Social work with accommodation	Social work with accommodation
8532	class	Servicios sociales sin alojamiento	Servicios sociales sin alojamiento	Servicios sociales sin alojamiento	Social work without accommodation	Social work without accommodation
9000	class	Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares	Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares	Eliminación de desperdicios y aguas residuales	Sewage and refuse disposal, sanitation and similar activities	Sewage and refuse disposal, sanitation
9111	class	Actividades de organizaciones empresariales y de empleadores	Actividades de organizaciones empresariales y de empleadores	Organizaciones empresariales y de empleadores	Activities of business and employers organizations	Business and employers organizations
9112	class	Actividades de organizaciones profesionales	Actividades de organizaciones profesionales	Actividades de organizaciones profesionales	Activities of professional organizations	Activities of professional organizations
9120	class	Actividades de sindicatos	Actividades de sindicatos	Actividades de sindicatos	Activities of trade unions	Activities of trade unions
9191	class	Actividades de organizaciones religiosas	Actividades de organizaciones religiosas	Actividades de organizaciones religiosas	Activities of religious organizations	Activities of religious organizations
9192	class	Actividades de organizaciones políticas	Actividades de organizaciones políticas	Actividades de organizaciones políticas	Activities of political organizations	Activities of political organizations
9199	class	Actividades de otras organizaciones ncp	Actividades de otras organizaciones ncp	Actividades de otras organizaciones ncp	Activities of other membership organizations n.e.c.	Activities of other membership organizations n.e.c.
9211	class	Producción y distribución de filmes y videocintas	Producción y distribución de filmes y videocintas	Producción y distribución de filmes y videocintas	Motion picture and video production and distribution	Motion picture and video production and distribution
9212	class	Exhibición de filmes y videocintas	Exhibición de filmes y videocintas	Exhibición de filmes y videocintas	Motion picture projection	Motion picture projection
9213	class	Actividades de radio y televisión	Actividades de radio y televisión	Actividades de radio y televisión	Radio and television activities	Radio and television activities
9214	class	Actividades teatrales y musicales y otras actividades artísticas	Actividades teatrales y musicales y otras actividades artísticas	Actividades teatrales y otras actividades artísticas	Dramatic arts, music and other arts activities	Dramatic arts, music and other arts activities
9219	class	Otras actividades de entretenimiento ncp	Otras actividades de entretenimiento ncp	Otras actividades de entretenimiento ncp	Other entertainment activities n.e.c.	Other entertainment activities n.e.c.
9220	class	Actividades de agencias de noticias	Actividades de agencias de noticias	Actividades de agencias de noticias	News agency activities	News agency activities
9231	class	Actividades de bibliotecas y archivos	Actividades de bibliotecas y archivos	Actividades de bibliotecas y archivos	Library and archives activities	Library and archives activities
9232	class	Actividades de museos y preservación de lugares y edificios históricos	Actividades de museos y preservación de lugares y edificios históricos	Museos y preservación de lugares y edificios históricos	Museums activities and preservation of historical sites and buildings	Museums and preservation of historical sites and buildings
9233	class	Actividades de jardines botánicos y zoológicos y de parques nacionales	Actividades de jardines botánicos y zoológicos y de parques nacionales	Jardines botánicos, zoológicos y parques nacionales	Botanical and zoological gardens and nature reserves activities	Botanical and zoological gardens and nature reserves activities
9241	class	Actividades deportivas	Actividades deportivas	Actividades deportivas	Sporting activities	Sporting activities
9242	class	Actividades de juegos de azar	Actividades de juegos de azar	Actividades de juegos de azar	Other recreational activities	Other recreational activities
9249	class	Otras actividades de esparcimiento	Otras actividades de esparcimiento	Otras actividades de esparcimiento	Other recreational activities	Other recreational activities
9301	class	Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco	Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco	Lavado y limpieza de prendas	Washing, and (dry-) cleaning of textile and fur products	Washing, and (dry-) cleaning of textile and fur products
9302	class	Peluquería y otros tratamientos de belleza	Peluquería y otros tratamientos de belleza	Peluquería y otros tratamientos de belleza	Hairdressing and other beauty treatment	Hairdressing and other beauty treatment
