"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
955,"18010","municipality","Rosamorada",945.0,"Rosamorada","Rosamorada","Rosamorada","Rosamorada"
956,"18011","municipality","Ruíz",945.0,"Ruíz","Ruíz","Ruíz","Ruíz"
957,"18012","municipality","San Blas",945.0,"San Blas","San Blas","San Blas","San Blas"
958,"18013","municipality","San Pedro Lagunillas",945.0,"San Pedro Lagunillas","San Pedro Lagunillas","San Pedro Lagunillas","San Pedro Lagunillas"
959,"18014","municipality","Santa María Del Oro",945.0,"Santa María Del Oro","Santa María Del Oro","Santa María Del Oro","Santa María Del Oro"
960,"18015","municipality","Santiago Ixcuintla",945.0,"Santiago Ixcuintla","Santiago Ixcuintla","Santiago Ixcuintla","Santiago Ixcuintla"
961,"18016","municipality","Tecuala",945.0,"Tecuala","Tecuala","Tecuala","Tecuala"
962,"18017","municipality","Tepic",945.0,"Tepic","Tepic","Tepic","Tepic"
963,"18018","municipality","Tuxpan",945.0,"Tuxpan","Tuxpan","Tuxpan","Tuxpan"
964,"18019","municipality","La Yesca",945.0,"La Yesca","La Yesca","La Yesca","La Yesca"
965,"18020","municipality","Bahía De Banderas",945.0,"Bahía De Banderas","Bahía De Banderas","Bahía De Banderas","Bahía De Banderas"
966,"19","department","Nuevo León",0.0,"Nuevo León","Nuevo León","Nuevo León","Nuevo León"
967,"19001","municipality","Abasolo",966.0,"Abasolo","Abasolo","Abasolo","Abasolo"
968,"19002","municipality","Agualeguas",966.0,"Agualeguas","Agualeguas","Agualeguas","Agualeguas"
969,"19003","municipality","Los Aldamas",966.0,"Los Aldamas","Los Aldamas","Los Aldamas","Los Aldamas"
970,"19004","municipality","Allende",966.0,"Allende","Allende","Allende","Allende"
971,"19005","municipality","Anáhuac",966.0,"Anáhuac","Anáhuac","Anáhuac","Anáhuac"
972,"19006","municipality","Apodaca",966.0,"Apodaca","Apodaca","Apodaca","Apodaca"
973,"19007","municipality","Aramberri",966.0,"Aramberri","Aramberri","Aramberri","Aramberri"
974,"19008","municipality","Bustamante",966.0,"Bustamante","Bustamante","Bustamante","Bustamante"
