"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name"
231,"VNM","country","Viet Nam","Vietnam (Republica Socialista De)","Viet Nam","Vietnam","","Viet Nam"
232,"VUT","country","Vanuatu","Vanuatu","Vanuatu","Vanuatu","","Vanuatu"
233,"WLF","country","Wallis and Futuna","Islas Wallis Y Futuna","Wallis and Futuna","Islas Wallis Y Futuna","","Wallis and Futuna"
234,"WSM","country","Samoa","Samoa (Estado Independiente De)","Samoa","Samoa","","Samoa"
235,"XCH","country","British Indian Ocean Territory","Territorios Britanicos Del Oceano Indico","British Indian Ocean Territory","Territorios Britanicos Del Oceano Indico","","British Indian Ocean Territory"
236,"YEM","country","Yemen","Yemen (Republica De)","Yemen","Yemen ","","Yemen"
237,"YUG","country","Yugoslavia","Yugoslavia (Republica Federal De)","Yugoslavia","Yugoslavia","","Yugoslavia"
238,"ZAF","country","South Africa","Sudafrica (Republica De)","South Africa","Sudafrica ","","South Africa"
239,"ZMB","country","Zambia","Zambia (Republica De)","Zambia","Zambia ","","Zambia"
240,"ZWE","country","Zimbabwe","Zimbabwe (Republica De)","Zimbabwe","Zimbabwe ","","Zimbabwe"
241,"ZYA","country","Netherlands ","Paises Bajos (Reino De Los) (Holanda)","Netherlands ","Holanda","","Netherlands "
242,"1","region","Africa","África","Africa","África","","Africa"
243,"2","region","Asia","Asia","Asia","Asia","","Asia"
244,"3","region","Oceania","Oceanía","Oceania","Oceanía","","Oceania"
245,"4","region","Europe","Europa","Europe","Europa","","Europe"
246,"5","region","North America","América del norte","North America","América del norte","","North America"
247,"6","region","South America","América del sur","South America","América del sur","","South America"
248,"7","region","Central America ","Centroamérica","Central America ","Centroamérica","","Central America "
249,"8","region","Carribean","Caribe","Carribean","Caribe","","Carribean"
250,"9","region","Other","Otros","Other","Otros","","Other"
