"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
273,"13647","municipality","San Estanislao",4.0,"San Estanislao","San Estanislao","San Estanislao"
274,"13650","municipality","San Fernando",4.0,"San Fernando","San Fernando","San Fernando"
275,"13654","municipality","San Jacinto",4.0,"San Jacinto","San Jacinto","San Jacinto"
276,"13655","municipality","San Jacinto Del Cauca",4.0,"San Jacinto Del Cauca","San Jacinto Del Cauca","San Jacinto Del Cauca"
277,"13657","municipality","San Juan Nepomuceno",4.0,"San Juan Nepomuceno","San Juan Nepomuceno","San Juan Nepomuceno"
278,"13667","municipality","San Martín De Loba",4.0,"San Martín De Loba","San Martín De Loba","San Martín De Loba"
279,"13670","municipality","San Pablo",4.0,"San Pablo","San Pablo","San Pablo"
280,"13673","municipality","Santa Catalina",4.0,"Santa Catalina","Santa Catalina","Santa Catalina"
281,"13683","municipality","Santa Rosa",4.0,"Santa Rosa","Santa Rosa","Santa Rosa"
282,"13688","municipality","Santa Rosa Del Sur",4.0,"Santa Rosa Del Sur","Santa Rosa Del Sur","Santa Rosa Del Sur"
283,"13744","municipality","Simití",4.0,"Simití","Simití","Simití"
284,"13760","municipality","Soplaviento",4.0,"Soplaviento","Soplaviento","Soplaviento"
285,"13780","municipality","Talaigua Nuevo",4.0,"Talaigua Nuevo","Talaigua Nuevo","Talaigua Nuevo"
286,"13810","municipality","Tiquisio",4.0,"Tiquisio","Tiquisio","Tiquisio"
287,"13836","municipality","Turbaco",4.0,"Turbaco","Turbaco","Turbaco"
288,"13838","municipality","Turbaná",4.0,"Turbaná","Turbaná","Turbaná"
289,"13873","municipality","Villanueva",4.0,"Villanueva","Villanueva","Villanueva"
290,"13894","municipality","Zambrano",4.0,"Zambrano","Zambrano","Zambrano"
291,"15001","municipality","Tunja",5.0,"Tunja","Tunja","Tunja"
292,"15022","municipality","Almeida",5.0,"Almeida","Almeida","Almeida"
293,"15047","municipality","Aquitania",5.0,"Aquitania","Aquitania","Aquitania"
294,"15051","municipality","Arcabuco",5.0,"Arcabuco","Arcabuco","Arcabuco"
295,"15087","municipality","Belén",5.0,"Belén","Belén","Belén"
296,"15090","municipality","Berbeo",5.0,"Berbeo","Berbeo","Berbeo"
297,"15092","municipality","Betéitiva",5.0,"Betéitiva","Betéitiva","Betéitiva"
298,"15097","municipality","Boavita",5.0,"Boavita","Boavita","Boavita"
299,"15104","municipality","Boyacá",5.0,"Boyacá","Boyacá","Boyacá"
300,"15106","municipality","Briceño",5.0,"Briceño","Briceño","Briceño"
301,"15109","municipality","Buenavista",5.0,"Buenavista","Buenavista","Buenavista"
302,"15114","municipality","Busbanzá",5.0,"Busbanzá","Busbanzá","Busbanzá"
303,"15131","municipality","Caldas",5.0,"Caldas","Caldas","Caldas"
304,"15135","municipality","Campohermoso",5.0,"Campohermoso","Campohermoso","Campohermoso"
